linkedin_post_id,post_date,weekday,month,year,post_text,media_type,likes,comments,reposts,engagement_rate,post_url
7475910758300577793,2026-06-25T14:33:58.140942,Thursday,June,2026,"I'm happy to share that I've been selected for the AICTE Virtual Internship as an AI & Prompt Engineering Intern at VaultofCodes.

This opportunity is exciting because it allows me to learn beyond the classroom and work on real-world AI and prompt engineering concepts. I believe practical experience is the best way to understand how technology can solve real problems.

As someone passionate about AI, data analytics, and continuous learning, I'm looking forward to building new skills, working on meaningful projects, and learning from experienced mentors throughout this internship.

I'm grateful to AICTE and VaultofCodes for this opportunity. Looking forward to making the most of this journey and sharing my learnings along the way.

hashtag
#AICTE 
hashtag
#VaultofCodes 
hashtag
#AI 
hashtag
#PromptEngineering 
hashtag
#Internship 
hashtag
#ArtificialIntelligence 
hashtag
#LearningJourney 
hashtag
#CareerGrowth 
hashtag
#Students",Text,5,0,0,1.7064846416382253,https://www.linkedin.com/feed/update/urn:li:activity:7475910758300577793
7472164800031006720,2026-06-19T06:33:58.369758,Friday,June,2026,"Excited to share that I have successfully completed the ServiceNow Administration Fundamentals On Demand course from ServiceNow.
This learning experience helped me understand the fundamentals of the ServiceNow platform, including navigation, administration concepts, workflows, and platform capabilities. It provided valuable insights into how organizations streamline and automate their business processes.
Every certification adds a new layer to my knowledge, and this one has strengthened my interest in enterprise technologies and digital transformation.
Looking forward to applying these concepts in future projects and continuing my learning journey.

hashtag
#ServiceNow 
hashtag
#ServiceNowAdmin 
hashtag
#LearningJourney 
hashtag
#ProfessionalDevelopment 
hashtag
#Technology 
hashtag
#StudentLearning 
hashtag
#ContinuousLearning 
hashtag
#DigitalTransformation",Image,4,0,0,1.3651877133105803,https://www.linkedin.com/feed/update/urn:li:activity:7472164800031006720
7456289511279550464,2026-05-27T06:33:58.746339,Wednesday,May,2026,"I’ve built and launched my personal portfolio to showcase my projects and learning journey.
 It highlights my work in data analytics, business systems, and real-world project .
 This is a small step towards building a strong professional presence and sharing my progress.
 Explore here: https://lnkd.in/gJZ8TN2V",Text,5,0,0,1.7064846416382253,https://www.linkedin.com/feed/update/urn:li:activity:7456289511279550464
7458033244232421376,2026-05-27T06:33:58.604664,Wednesday,May,2026,"Excited to share that our team — Mohith Hariharan, Manoj, and Saravanakumar — participated in the CyberGeek’26 Capture The Flag (CTF) Competition organized by GeekHaven under Aparoksha at IIIT Allahabad among 300+ participants.
This experience was more than just a competition. It pushed us to think critically, solve problems under pressure, and explore real-world cybersecurity concepts through practical challenges.
Working as a team taught us the importance of collaboration, patience, and analytical thinking. Every challenge gave us a new perspective and motivated us to keep learning and improving our technical skills.
Grateful for the experience and looking forward to participating in more cybersecurity and tech events ahead 🚀

hashtag
#CyberSecurity 
hashtag
#CTF 
hashtag
#CyberGeek26 
hashtag
#TeamWork 
hashtag
#LearningJourney 
hashtag
#ProblemSolving",Image,10,1,0,3.754266211604096,https://www.linkedin.com/feed/update/urn:li:activity:7458033244232421376
7449127068509831169,2026-04-27T06:33:59.167296,Monday,April,2026,"Sometimes the most valuable learning comes from the skills we usually overlook.
I recently completed three modules from Wadhwani Foundation — Success at Work, Effective Speaking and Listening Skills – Advanced, and Self Management – Advanced — and they gave me a different perspective on personal growth.
These courses made me reflect on how much communication, discipline, and self-awareness shape our everyday progress. Technical knowledge can open doors, but the ability to manage yourself and connect well with others is what helps you grow through them.
What made this experience meaningful was how practical it felt. Every lesson connected to real situations I face as a student, and it reminded me that improving small habits can create long-term change.
This journey taught me that success is not only about achieving goals, but also about becoming better prepared for them.
Grateful for this learning experience and excited to keep building both professional and personal skills.",Image,9,1,0,3.4129692832764507,https://www.linkedin.com/feed/update/urn:li:activity:7449127068509831169
7450587370871001088,2026-04-27T06:33:59.051451,Monday,April,2026,"Learning about AI has always felt exciting to me because it is shaping the future in so many ways.
I’m happy to share that I am now a Gemini Certified Student through Google for Education. This certification is special to me because it represents more than completing a program — it reflects my growing curiosity about how AI can be used meaningfully in learning and problem-solving.
Through this journey, I gained a better understanding of how Google AI tools can support education and make learning more interactive and effective. It also made me realize that adapting to new technology is not just important, but necessary.
What I appreciate most is how every new skill adds confidence. Even small milestones like this remind me that consistent learning creates bigger opportunities over time.
This is one more step in my journey of exploring technology, analytics, and innovation, and I’m excited to keep learning what comes next.",Image,15,0,0,5.1194539249146755,https://www.linkedin.com/feed/update/urn:li:activity:7450587370871001088
7453550277296791552,2026-04-27T06:33:58.926053,Monday,April,2026,"I recently completed a Database Management System (DBMS) project focused on SQL, PL/SQL, and MySQL CLI operations.
This project helped me move beyond theory and understand how databases function in real scenarios. From creating structures to managing transactions, it gave me a clear view of the complete data lifecycle.
Key highlights from my work:
Designed tables using DDL commands like CREATE and ALTER
Performed data operations using INSERT and SELECT
Implemented PL/SQL functions for logical processing
Managed transactions using COMMIT and ROLLBACK
Debugged errors and improved query efficiency
One important learning for me was that writing queries is not enough. Understanding the logic behind data handling and fixing mistakes step by step made a big difference.",Image,12,0,0,4.09556313993174,https://www.linkedin.com/feed/update/urn:li:activity:7453550277296791552
7442229103061164032,2026-03-28T06:33:59.282701,Saturday,March,2026,"I’m glad to share that I’ve completed the Exploratory Data Analysis course through FutureSkills Prime (NASSCOM).
This course helped me understand how important it is to explore data before making any conclusions. I learned how to look at data from different angles, identify patterns, and ask the right questions instead of jumping directly to answers.
At first, it felt simple, but as I went deeper, I realized how much thinking and observation goes into proper analysis. It improved the way I approach data and made me more careful and curious while working with it.
This experience added another small but meaningful step in my journey toward data analytics. I’m looking forward to applying these learnings in real projects and continuing to improve step by step.
Grateful for the opportunity to learn and grow.",Image,9,0,0,3.0716723549488054,https://www.linkedin.com/feed/update/urn:li:activity:7442229103061164032
7413630967514378240,2026-01-27T06:33:59.431180,Tuesday,January,2026,"I’m happy to share that I’ve completed my 1-month Data Analytics Internship at Codec Technologies.
During the internship, I worked on a Sales Analysis project using Pavan Lalwani Sales Report.xlsx, focusing on sales trends, performance analysis, and business insights. I handled most of the data analysis independently, using online resources and AI tools only for clarification.
📌 Project:
https://lnkd.in/gURW-9f7
Grateful for the learning opportunity and excited to work on more real-world projects 🚀

hashtag
#DataAnalytics 
hashtag
#Internship 
hashtag
#Excel 
hashtag
#GitHub 
hashtag
#Learning",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7413630967514378240
7401296631276519424,2025-12-28T06:33:59.716952,Sunday,December,2025,"Yesterday I decided to challenge myself by completing a full end-to-end Amazon Sales Analysis project using a Kaggle dataset.
I wrote most of the code on my own—cleaning the data, converting dates, creating visualizations and exploring insights. Some errors took time to figure out, and I used AI only to debug when I got stuck.
It wasn’t just about finishing a project.
 It was about learning, thinking, and solving step by step.
Proud to say I completed the entire project independently and it helped me grow my Python + Data Analytics skills.
Excited for more datasets and more learning ahead!",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7401296631276519424
7403127793921978368,2025-12-28T06:33:59.595497,Sunday,December,2025,"I’m happy to share that I’ve started my Data Analytics Internship at CODTECH IT Solutions Pvt. Ltd. 🎉
 This 4-week online internship (Dec 4, 2025 – Jan 4, 2026) is a great opportunity to build my skills, work on real projects, and grow professionally.
Excited for this learning journey!

hashtag
#Internship 
hashtag
#DataAnalytics 
hashtag
#CODTECH 
hashtag
#CareerGrowth",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7403127793921978368
7382062819913011200,2025-10-29T06:33:59.819327,Wednesday,October,2025,,Image,4,0,0,1.3651877133105803,https://www.linkedin.com/feed/update/urn:li:activity:7382062819913011200
7379954623471575040,2025-10-29T06:17:27.397085,Wednesday,October,2025,"Thrilled to share that I have successfully completed my Data Science & Analytics Certification from GUVI | HCL. 🚀
This course strengthened my skills in data analysis, visualization, and predictive analytics – helping me move closer to a career in data-driven problem solving.

hashtag
#DataScience 
hashtag
#Analytics 
hashtag
#GUVI 
hashtag
#Upskilling 
hashtag
#ContinuousLearning",Image,1,0,0,0.3412969283276451,https://www.linkedin.com/feed/update/urn:li:activity:7379954623471575040
7382041817103564800,2025-10-29T06:17:27.195354,Wednesday,October,2025,"I’ve successfully participated in the Online Quiz on Viksit Bharat Young Leaders Dialogue (VBYLD) 2026, organized by the Ministry of Youth Affairs & Sports, Government of India, through MYBharat. 🇮🇳

This initiative inspired me to contribute toward building a Viksit Bharat by 2047 — a vision of progress, leadership, and innovation.

Grateful for this opportunity to be part of India’s youth-driven transformation journey. ✨


hashtag
#ViksitBharat 
hashtag
#MYBharat 
hashtag
#YoungLeaders 
hashtag
#MinistryOfYouthAffairs 
hashtag
#Leadership 
hashtag
#NationalDevelopment 
hashtag
#India2047",Image,6,0,0,2.04778156996587,https://www.linkedin.com/feed/update/urn:li:activity:7382041817103564800
7372893773237862400,2025-09-29T06:17:28.213088,Monday,September,2025,"I recently had the opportunity to deliver a presentation in the Verbal & Communication class conducted by QSpiders. This session helped me improve my public speaking, confidence, and clarity of communication – skills that are very important for personal and professional growth.
I’m grateful to the trainers at QSpiders for creating such an engaging environment where we can practice and learn continuously. Looking forward to more such opportunities to enhance my communication and presentation skills. 🚀

hashtag
#QSpiders 
hashtag
#CommunicationSkills 
hashtag
#Presentation 
hashtag
#LearningJourney 
hashtag
#PlacementPreparation",Image,6,2,0,2.7303754266211606,https://www.linkedin.com/feed/update/urn:li:activity:7372893773237862400
7376252941336252416,2025-09-29T06:17:27.940406,Monday,September,2025,"I'm thrilled to share a milestone from my learning journey! I've successfully completed both the Data Science and Artificial Intelligence courses and internships at Rinex. The knowledge I've gained in these fields is invaluable, and I was able to put it into practice on a key project.
As part of my internship, I developed [synthetic student performance]. This project allowed me to apply my skills in [data cleaning, machine learning algorithms, and data visualization] to solve a real-world problem. It was challenging, but seeing my work come to life was incredibly rewarding.
This journey has reinforced my passion for using data and AI to solve real-world problems. It's been an inspiring experience, and I'm excited to apply these skills to future projects. A big thank you to the team at Rinex for providing this opportunity.

hashtag
#datascience 
hashtag
#artificialintelligence 
hashtag
#ai 
hashtag
#internship 
hashtag
#rinex 
hashtag
#learning 
hashtag
#careerdevelopment 
hashtag
#project",Image,4,0,0,1.3651877133105803,https://www.linkedin.com/feed/update/urn:li:activity:7376252941336252416
7357325402911961088,2025-08-30T06:17:28.396773,Saturday,August,2025,"Excited to share our project showcase at PECTEAM 2025
I had the opportunity to present our project titled Smart Trolley System at the 8th International Conference for Phoenixes on Emerging Current Trends in Engineering and Management PECTEAM 2025 held at Panimalar Engineering College on 21st and 22nd March 2025.
The Smart Trolley System aims to improve the retail shopping experience by
Automatically detecting products placed in the trolley using RFID technology
Instantly calculating the total cost
Enabling quick and seamless payment via UPI
This innovation is designed to reduce long billing queues and enhance customer convenience in supermarkets.
I sincerely thank my team, mentors, and the event organizers for their support and guidance throughout the project journey.

hashtag
#SmartTrolley 
hashtag
#IoT 
hashtag
#Innovation 
hashtag
#RFID 
hashtag
#UPIPayments 
hashtag
#RetailTech 
hashtag
#PanimalarEngineeringCollege 
hashtag
#PECTEAM2025 
hashtag
#EngineeringProjects 
hashtag
#FutureOfShopping",Image,2,0,0,0.6825938566552902,https://www.linkedin.com/feed/update/urn:li:activity:7357325402911961088
7350150403109314561,2025-07-31T06:34:00.387762,Thursday,July,2025,"Entrepreneurship – MyCaptain
Finished my Entrepreneurship course with MyCaptain!
From developing business plans to identifying market opportunities — this course wasn’t just about theory, it was about thinking like a founder.
I’ve always admired entrepreneurs. Now I understand their mindset a little better — bold, creative, and always ready to solve a problem.
This course showed me that entrepreneurship isn’t only about starting a company — it’s also about how you think, act, and adapt.
To anyone dreaming of building something of their own: start small, but start now.

hashtag
#Entrepreneurship 
hashtag
#MyCaptain 
hashtag
#StartupMindset 
hashtag
#Innovation 
hashtag
#KeepBuilding",Image,1,0,0,0.3412969283276451,https://www.linkedin.com/feed/update/urn:li:activity:7350150403109314561
7350157138138226688,2025-07-31T06:34:00.179754,Thursday,July,2025,"Business Analysis & Process Management – Coursera
Just wrapped up a course on Business Analysis & Process Management through Coursera!
At first, I wasn’t sure what to expect. But this course gave me real clarity on how businesses run behind the scenes — how decisions are made, and how processes can be improved.
I now look at everyday business problems with a new lens.
If you're someone who likes solving problems or understanding the ""why"" behind business decisions, I highly recommend diving into this field.
Grateful for platforms like Coursera that make learning accessible anytime, anywhere.

hashtag
#BusinessAnalysis 
hashtag
#Coursera 
hashtag
#ProblemSolving 
hashtag
#CareerGrowth",Image,1,0,0,0.3412969283276451,https://www.linkedin.com/feed/update/urn:li:activity:7350157138138226688
7350157343336067072,2025-07-31T06:34:00.051842,Thursday,July,2025,"AI for Beginners – HP LIFE
Just completed the AI for Beginners course by HP LIFE!
 It might be a basic course, but for me, it was a big step into the world of Artificial Intelligence.
I never imagined I’d be learning about how data drives AI, how businesses use it, or even the ethics behind it — but here I am. One chapter at a time.
The best part? It made me realize that even complex topics become easier when you’re genuinely curious.
No matter where you’re starting from, don’t be afraid to explore something new. You might surprise yourself.

hashtag
#ArtificialIntelligence 
hashtag
#HPFoundation 
hashtag
#LearningJourney 
hashtag
#CuriousMind",Image,1,0,0,0.3412969283276451,https://www.linkedin.com/feed/update/urn:li:activity:7350157343336067072
7350158358743531521,2025-07-31T06:33:59.938560,Thursday,July,2025,"Data Visualization Certification (Forage)
""Turning Data into Stories That Drive Decisions""
Just wrapped up the Data Visualization program by Forage! 🎨📊
From framing business scenarios to creating impactful visuals, this course taught me how to transform raw data into clear, actionable insights. The best part? Learning how the right chart can make or break a decision.
Big thanks to Tom Brunskill and the Forage team for this hands-on experience. Excited to apply these skills to help businesses see their data in a whole new light!

hashtag
#DataVisualization 
hashtag
#BusinessInsights 
hashtag
#Forage 
hashtag
#ContinuousLearning",Image,1,0,0,0.3412969283276451,https://www.linkedin.com/feed/update/urn:li:activity:7350158358743531521
7350161059963461632,2025-07-31T06:17:28.792051,Thursday,July,2025,"I’m happy to share that I’ve started my B.TECH, COMPUTER SCIENCE AND BUSINESS SYSTEM at Panimalar Engineering College!",Image,1,0,0,0.3412969283276451,https://www.linkedin.com/feed/update/urn:li:activity:7350161059963461632
7354184040075120640,2025-07-31T06:17:28.596097,Thursday,July,2025,"I recently completed the MERN Full Stack Web Development workshop by GeeksforGeeks.

It was a great hands-on experience that helped me understand how MongoDB, Express, React, and Node.js work together to build full stack applications.

This workshop boosted my confidence in building real-world projects and sharpened my development skills.

Excited to keep learning and applying these concepts in future projects",Image,1,0,0,0.3412969283276451,https://www.linkedin.com/feed/update/urn:li:activity:7354184040075120640
